brand,mean,min,max,count
nyx,8.418170731707317,0.0,20.0,164
clinique,22.764673913043477,8.5,39.0,92
dior,27.35810810810811,0.0,77.0,74
covergirl,9.684444444444445,4.49,15.99,54
maybelline,11.138148148148149,4.49,18.49,54
smashbox,29.847826086956523,18.0,55.0,46
l'oreal,13.871956521739131,7.79,29.99,46
physicians formula,17.213255813953488,8.99,29.99,43
benefit,30.536585365853657,16.0,75.0,41
revlon,13.493448275862068,6.99,19.99,29
e.l.f.,6.767777777777779,3.99,13.99,27
cargo cosmetics,29.25,19.0,42.0,20
pure anada,14.249375,8.0,25.99,16
marcelle,14.59,10.99,22.99,15
almay,12.661428571428571,8.99,17.29,14
pacifica,25.45846153846154,14.0,60.0,13
milani,9.066923076923077,3.99,12.99,13
wet n wild,4.306666666666667,1.99,6.99,12
dr. hauschka,33.916666666666664,22.0,45.0,12
annabelle,9.805454545454545,6.99,11.99,11
marienatie,0.0,0.0,0.0,9
mineral fusion,25.375,10.0,37.0,8
lotus cosmetics usa,0.0,0.0,0.0,7
anna sui,22.0,10.0,28.0,6
sante,22.09,17.29,27.49,6
glossier,25.0,20.0,32.0,6
suncoat,16.006666666666664,8.29,22.49,6
rejuva minerals,0.0,0.0,0.0,6
fenty,23.2,18.0,34.0,5
stila,46.2475,36.0,51.0,4
c'est moi,0.0,0.0,0.0,4
essie,10.0,10.0,10.0,4
orly,10.745000000000001,8.0,13.49,4
colourpop,7.0,5.0,12.0,4
moov,14.99,14.99,14.99,3
zorah,25.5,24.0,27.0,2
deciem,6.800000000000001,6.7,6.9,2
butter london,25.48,22.0,28.96,2
burt's bees,9.99,9.99,9.99,2
sally b's skin yummies,0.0,0.0,0.0,2
zorah biocosmetiques,0.0,0.0,0.0,2
w3llpeople,0.0,0.0,0.0,1
sinful colours,2.99,2.99,2.99,1
salon perfect,6.99,6.99,6.99,1
dalish,22.0,22.0,22.0,1
boosh,26.0,26.0,26.0,1
piggy paint,11.99,11.99,11.99,1
penny lane organics,0.0,0.0,0.0,1
mistura,56.49,56.49,56.49,1
misa,9.39,9.39,9.39,1
alva,9.95,9.95,9.95,1
maia's mineral galaxy,0.0,0.0,0.0,1
china glaze,8.0,8.0,8.0,1
green people,0.0,0.0,0.0,1
coastal classic creation,0.0,0.0,0.0,1
nudus,0.0,0.0,0.0,1
iman,,,,0
