color,count
medium,31
light,31
color 1,24
color 2,23
black,23
deep,22
color 3,21
black ,19
cocoa,17
espresso,16
color 4,15
blackest black ,15
blonde,14
taupe,13
brunette,13
beige,12
fair,12
natural,12
nude ,11
caramel,11
nude,11
natural beige ,10
dark brown,10
ivory ,10
golden,9
alabaster,9
nutmeg,9
auburn,9
porcelain,9
brown,9
ivory,9
tan,9
classic ivory ,8
brown ,8
light/medium,8
soft brown,8
deep golden,8
999 matte,7
dark,7
medium beige,7
chestnut,7
honey,7
black brown ,7
medium beige ,7
cappuccino,7
nude beige,7
fresh beige,6
deep rich,6
very black ,6
deep espresso,6
glow,6
medium/dark,6
chocolate,6
rose,5
warm beige,5
light ,5
golden beige,5
sienna,5
ash brown,5
jet black,5
charcoal,5
sand,5
plum ,5
soft beige,5
caramel ,5
lavender,5
614 jungle matte,5
hot pink,5
979 poison metal,5
03 - medium,5
01 - light,5
162 miss satin,5
05 - deep,5
buff ,4
684 diabolo,4
550 tease,4
rich,4
745 grenat,4
sable,4
shade 02,4
tea rose,4
carbon black ,4
vanilla,4
deep dark 115,4
mahogany,4
673 ruby,4
sand beige,4
02 - light,4
04 - medium,4
nude beige ,4
06 - deep,4
cappuccino ,4
white,4
light/neutral,4
924 sauvage,4
true beige ,4
medium olive,4
shade 01,4
809 emerald,4
998 amethyst,4
color 5,4
pink ,4
baby doll,4
milan,4
purple,4
amber,4
11 honey,4
14 vanilla,4
15 beige,4
24 golden,4
26 amber,4
color 6,4
23 ginger,4
28 clove,4
light medium,4
copenhagen,3
iris,3
warm tan,3
mauve,3
clay medium,3
pure beige ,3
black brown,3
08 golden neutral,3
natural beige,3
earth deep,3
sand medium,3
olive,3
cannes,3
07 cream chamois,3
nude beach,3
06 ivory,3
black cherry,3
sun beige ,3
honey beige,3
02 alabaster,3
shade 03,3
18 sand,3
21 cream caramel,3
translucent,3
09 neutral,3
love pop,3
black  ,3
primrose,3
natural  ,3
light beige,3
dark brown ,3
04 cream whip,3
deep brown,3
honeymoon,3
paris,3
rose gold,3
gold,3
light brown,3
hot red,3
scandalous,3
plum,3
moderately fair,3
violet,3
pink mademoiselle ,3
001,3
030 medium beige,3
color 7,3
color 8,3
crimson,3
grape pop,3
020 light beige,3
seduction,3
vintage,3
morning java 1,3
medium ,3
black/brown,3
silver,3
orange,3
earth medium,3
green,3
1,3
3,3
4,3
buff beige ,3
classic tan,3
nude  ,3
deep honey,3
banana,3
deep dark 80,3
ruby,3
cola pop,3
fig,3
clay medium deep,3
brownish black ,3
nude pop,3
melon pop,3
fair/light,3
club hopper,2
aria,2
soft-spoken,2
sway,2
respect the pink,2
maison,2
foul mouth,2
stone fox,2
pink lust,2
brooklyn thorn,2
sandstorm,2
downtown beauty,2
little denim dress,2
prune,2
run the world,2
foiled again,2
demure ,2
alabama,2
london,2
stockholm,2
"oh, put it on",2
subversive socialite,2
amethyst,2
jet set,2
kitten heels,2
orange county,2
cherry skies,2
deep dark,2
sao paulo,2
mocha,2
light ivory,2
angel,2
red,2
pinky,2
really red ,2
sugar mama,2
silk,2
sunkissed,2
beach babe,2
nude'tude,2
bright lights,2
down to earth,2
pink the town,2
coraline,2
double dare,2
summer,2
tuscan,2
bitten,2
deep plum,2
mauve n' out,2
bronzed,2
electro,2
intuition,2
hamptons,2
magnetic,2
soft spoken,2
pastel chic,2
mint green,2
caramel beige,2
life's a beach,2
yellow,2
tea & cookies,2
nude pink,2
peony,2
revolution,2
iconic ,2
sweet pink,2
enchanted,2
taboo,2
slate,2
extreme black,2
passion ,2
gem,2
cinnamon,2
golden honey,2
true beige,2
wine & dine,2
deep olive,2
couture ,2
vivid violet,2
cinnamon spice,2
tawny,2
soft sand,2
warm,2
creamy natural,2
cool tan,2
buff,2
flower,2
alien,2
corset,2
fuchsia,2
cinnamon ,2
wn 122 clove,2
fuchsia  ,2
cn 126 espresso,2
rose ,2
05 medium,2
nude attitude ,2
natural ,2
spice ,2
wn 118 amber,2
sienna ,2
nude pink ,2
medium honey,2
french rose ,2
soft pink ,2
medium deep,2
nude rose,2
nude beige  ,2
wn 114 golden,2
pale pink,2
wine ,2
shell ,2
vanilla ,2
cn 10 alabaster,2
cn 20 fair,2
cn 28 ivory,2
cn 40 cream chamois,2
cn 52 neutral,2
fuschia ,2
wn 112 ginger,2
cn 58 honey,2
cn 62 porcelain beige,2
cn 70 vanilla,2
cn 74 beige,2
cn 90 sand,2
wn 94 deep neutral,2
wn 98 cream caramel,2
cream pop,2
petal pop,2
aqua pop,2
bare pop,2
light/medium ,2
skinny jeans,2
beyond blue,2
beyond brown,2
hazelnut,2
beige pop,2
fab pop,2
cherry pop,2
willow pop,2
poppy pop,2
bronze goddess,2
bejeweled,2
hot chocolate,2
mixed metal,2
001 precious rocks,2
000,2
9,2
10,2
new shade! fair/light,2
new shade! light/neutral,2
cocoa pop,2
sunset glow,2
tea rose ,2
black honey,2
pink & plenty,2
pink chocolate,2
taupe ,2
soft blonde,2
wheat,2
peach pop,2
pink honey,2
plum pop,2
berry pop,2
honey blush,2
new shade! medium/dark,2
golden beige ,2
rich ginger ,2
honey beige ,2
bombshell,2
