product_id,product_name,colour_name,hex_value
1048,Lippie Pencil,BFF Pencil,#B28378
1048,Lippie Pencil,951 Pencil,#A36B5E
1048,Lippie Pencil,Beeper Pencil,#966A60
1048,Lippie Pencil,Oh Snap Pencil,#8F5954
1048,Lippie Pencil,Curvii Pencil,#975348
1048,Lippie Pencil,Lumiere Pencil,#865B69
1048,Lippie Pencil,Bumble Pencil,#8E474D
1048,Lippie Pencil,BFF Pencil 3,#5F2820
1048,Lippie Pencil,Brills Pencil,#C095BC
1048,Lippie Pencil,Are N Be Pencil,#743A6A
1048,Lippie Pencil,Contempo Pencil,#965564
1048,Lippie Pencil,Heart On Pencil,#BF2C7E
1048,Lippie Pencil,Trixie Pencil,#CE435D
1048,Lippie Pencil,Chi Chi Pencil,#DA6952
1048,Lippie Pencil,Clique Pencil,#A33C37
1048,Lippie Pencil,Frenchie Pencil,#C23D3C
1048,Lippie Pencil,Bossy Pencil,#AF4051
1048,Lippie Pencil,Wild Nothing Pencil,#914B4C
1048,Lippie Pencil,Dopey Pencil,#6D414B
1048,Lippie Pencil,Toolips Pencil,#4D2D28
1048,Lippie Pencil,Mamacita Pencil,#361927
1048,Lippie Pencil,Pitch Pencil,#714B41
1048,Lippie Pencil,LBB Pencil,#762F50
1048,Lippie Pencil,Love Bug Pencil,#8C4A47
1048,Lippie Pencil,Poison Pencil,#702E2D
1048,Lippie Pencil,Bichette Pencil,#93283C
1048,Lippie Pencil,Dukes Pencil,#653E44
1048,Lippie Pencil,Leather Pencil,#5C3357
1048,Lippie Pencil,Bull Chic Pencil,#242225
1048,Lippie Pencil,Brink Pencil,#B5716A
1048,Lippie Pencil,I Heart This Pencil,#B0516F
1048,Lippie Pencil,Ellarie Pencil,#542328
1048,Lippie Pencil,Toy Pencil,#DFAC9B
1048,Lippie Pencil,BFF Pencil 2,#AB7164
1047,Blotted Lip,Bee's Knees,#b72227
1047,Blotted Lip,Brain Freeze,#BB656B
1047,Blotted Lip,Drip,#8E4140
1047,Blotted Lip,On a Stick,#A12A33
1047,Blotted Lip,Ice Cube,#904550
