id,name,tag
1048,Lippie Pencil,cruelty free
1048,Lippie Pencil,Vegan
1047,Blotted Lip,cruelty free
1047,Blotted Lip,Vegan
1046,Lippie Stix,cruelty free
1046,Lippie Stix,Vegan
1045,No Filter Foundation,cruelty free
1045,No Filter Foundation,Vegan
1044,Lipstick,Chemical Free
1044,Lipstick,Organic
1043,Serum Foundation,water free
1043,Serum Foundation,cruelty free
1043,Serum Foundation,alcohol free
1043,Serum Foundation,oil free
1043,Serum Foundation,silicone free
1043,Serum Foundation,Vegan
1043,Serum Foundation,Gluten Free
1042,Coverage Foundation,water free
1042,Coverage Foundation,cruelty free
1042,Coverage Foundation,alcohol free
1042,Coverage Foundation,oil free
1042,Coverage Foundation,silicone free
1042,Coverage Foundation,Vegan
1042,Coverage Foundation,Gluten Free
1041,Liquid Liner,purpicks
1041,Liquid Liner,EcoCert
1040,Eyeshadow,purpicks
1040,Eyeshadow,EcoCert
1039, Realist Invisible Setting Powder,purpicks
1039, Realist Invisible Setting Powder,EWG Verified
1039, Realist Invisible Setting Powder,Gluten Free
1038,B Smudged,EWG Verified
1038,B Smudged,purpicks
1037,B Glossy Lip Gloss,EWG Verified
1037,B Glossy Lip Gloss,purpicks
1036,Multi Purpose Powder - Blush & Eye,purpicks
1036,Multi Purpose Powder - Blush & Eye,EWG Verified
1036,Multi Purpose Powder - Blush & Eye,Hypoallergenic
1036,Multi Purpose Powder - Blush & Eye,No Talc
1035,Multi Purpose Powder - Blush & Eye,purpicks
1035,Multi Purpose Powder - Blush & Eye,EWG Verified
1035,Multi Purpose Powder - Blush & Eye,Hypoallergenic
1035,Multi Purpose Powder - Blush & Eye,No Talc
1034,Multi Purpose Powder - Eye Shadow & Face,purpicks
1034,Multi Purpose Powder - Eye Shadow & Face,EWG Verified
1034,Multi Purpose Powder - Eye Shadow & Face,Vegan
1034,Multi Purpose Powder - Eye Shadow & Face,Organic
1033,Pressed Powder Foundation,purpicks
1033,Pressed Powder Foundation,EWG Verified
1033,Pressed Powder Foundation,Hypoallergenic
1033,Pressed Powder Foundation,No Talc
1032,Bronzer - loose,purpicks
1032,Bronzer - loose,EWG Verified
1032,Bronzer - loose,Vegan
1032,Bronzer - loose,Gluten Free
1031,Bronzer - pressed,purpicks
1031,Bronzer - pressed,EWG Verified
1031,Bronzer - pressed,Vegan
1031,Bronzer - pressed,Gluten Free
1030,Lip Gloss,purpicks
1030,Lip Gloss,CertClean
1030,Lip Gloss,Vegan
1030,Lip Gloss,Chemical Free
1030,Lip Gloss,Gluten Free
1029,Amalia,purpicks
1028,Pressed Foundation,purpicks
1028,Pressed Foundation,CertClean
1027,Pressed Eye Shadow,purpicks
1027,Pressed Eye Shadow,CertClean
1026,Mineral Blush,purpicks
1026,Mineral Blush,CertClean
1025,Perfect Lash Mascara,purpicks
1025,Perfect Lash Mascara,CertClean
1024,Loose Mineral Eyeshadow,purpicks
1024,Loose Mineral Eyeshadow,CertClean
1023,Lipstick,purpicks
1023,Lipstick,CertClean
1023,Lipstick,Vegan
1023,Lipstick,Gluten Free
1022,Lip Gloss,purpicks
1022,Lip Gloss,CertClean
1021,Gel Liner,purpicks
1021,Gel Liner,CertClean
1021,Gel Liner,Vegan
1021,Gel Liner,Gluten Free
1020,Eyeliner,purpicks
1020,Eyeliner,CertClean
1019,Mineral Eye Brow Liner Charcoal Brown,EWG Verified
1019,Mineral Eye Brow Liner Charcoal Brown,purpicks
1018,Mascara,purpicks
1018,Mascara,USDA Organic
1018,Mascara,Organic
1017,Creme to Powder Blush,purpicks
1017,Creme to Powder Blush,USDA Organic
1017,Creme to Powder Blush,Organic
1016,Eye Shadow Palette Mesmerize,purpicks
1016,Eye Shadow Palette Mesmerize,USDA Organic
1016,Eye Shadow Palette Mesmerize,Organic
1015,Eye Shadow Palette Deluxe,purpicks
1015,Eye Shadow Palette Deluxe,USDA Organic
1015,Eye Shadow Palette Deluxe,Organic
1014,Eye Shadow Palette Smokey,purpicks
1014,Eye Shadow Palette Smokey,USDA Organic
1014,Eye Shadow Palette Smokey,Organic
1013,Eye Shadow Palette Seduction,purpicks
1013,Eye Shadow Palette Seduction,USDA Organic
1013,Eye Shadow Palette Seduction,Organic
1012,Eye Shadow Palette Cocoa,purpicks
1012,Eye Shadow Palette Cocoa,USDA Organic
1012,Eye Shadow Palette Cocoa,Organic
1011,Volumising Mascara,purpicks
1011,Volumising Mascara,EcoCert
1010,Conch Lipstick,purpicks
1010,Conch Lipstick,EWG Verified
1010,Conch Lipstick,Hypoallergenic
1010,Conch Lipstick,No Talc
1009,Reflect Lip Gloss,purpicks
1009,Reflect Lip Gloss,EWG Verified
1009,Reflect Lip Gloss,Hypoallergenic
1009,Reflect Lip Gloss,No Talc
1008,Muse Mascara,purpicks
1008,Muse Mascara,EWG Verified
1008,Muse Mascara,Hypoallergenic
1008,Muse Mascara,No Talc
1007,Luminary Lip Crayon,purpicks
1007,Luminary Lip Crayon,EWG Verified
1007,Luminary Lip Crayon,Hypoallergenic
1007,Luminary Lip Crayon,No Talc
1006,Fearless Eyeliner,purpicks
1006,Fearless Eyeliner,EWG Verified
1006,Fearless Eyeliner,Hypoallergenic
1006,Fearless Eyeliner,No Talc
1005,Liquid Eye Shadow,purpicks
1005,Liquid Eye Shadow,Vegan
1005,Liquid Eye Shadow,Organic
514,Marcelle Quad Bronzer Sunkissed,Canadian
507,Saint Cosmetics Bronzer,Natural
507,Saint Cosmetics Bronzer,Vegan
507,Saint Cosmetics Bronzer,Gluten Free
507,Saint Cosmetics Bronzer,Canadian
506,Marcelle Monochromatic Bronzer,Canadian
503,Physicians Formula Super BB InstaReady Filter BB Bronzer,Gluten Free
503,Physicians Formula Super BB InstaReady Filter BB Bronzer,Natural
497,Physicians Formula Argan Wear Ultra-Nourishing Argan Oil Bronzer,Gluten Free
490,Earth Lab Loose Mineral Bronzer,Canadian
490,Earth Lab Loose Mineral Bronzer,Natural
487,Physicians Formula Bronze Booster Airbrushing Bronzing Veil ,Gluten Free
485,Milani Baked Bronzer ,Vegan
484,Physicians Formula Organic Wear 100% Natural Origin Bronzer ,Gluten Free
484,Physicians Formula Organic Wear 100% Natural Origin Bronzer ,Natural
483,Dr. Hauschka Translucent Bronzing Tint,Natural
481,Pure Anada Loose Mineral Luminous Bronzer,Canadian
481,Pure Anada Loose Mineral Luminous Bronzer,Natural
479,Physicians Formula Bronze Booster Glow-Boosting BB Cream,Gluten Free
478,e.l.f. Studio Bronzer,Vegan
469,Saint Cosmetics Blush,Natural
469,Saint Cosmetics Blush,Vegan
469,Saint Cosmetics Blush,Gluten Free
469,Saint Cosmetics Blush,Canadian
467,Sante Rouge,Natural
462,Physicians Formula Nude Wear Touch of Glow Palette in Light,Gluten Free
461,Dr. Hauschka Rouge Powder ,Organic
461,Dr. Hauschka Rouge Powder ,Natural
459,Mineral Fusion Blush,Gluten Free
459,Mineral Fusion Blush,Natural
456,Physicians Formula Nude Wear Glowing Nude Blush,Gluten Free
454,e.l.f. Studio Blush Palette Dark,Vegan
451,Physicians Formula Nude Wear Glowing Nude Blush ,Gluten Free
446,Physicians Formula Happy Booster Glow & Mood Boosting Blush,Gluten Free
